Poole Creek,-29.63,137.67
Nelly Creek,-29.32,137.66
Deans Marsh,-38.41,143.89
Nerriga,-35.12,150.08
Golden Grove,-34.79,138.73
Maslin Bay,-35.22,138.47
Anglesea,-38.4,144.16
Dinmore,-27.6,152.83
Brandy Creek,-37.01,147.33
Hotham Heights,-36.99,147.16
Regatta Point,-42.17,145.33
Lefroy & Cowran,-31.2,121.66
